document_id,filename,full_path,bank_name,source_type,document_type,word_count,global_normalized,within_type_normalized
"goldman_sachs_group,_inc.,_the_2024_Q1","goldman_sachs_group,_inc.,_the_2024_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/goldman_sachs_group,_inc.,_the_2024_Q1.txt",goldman,News,News Article,1968,0.1395405187759328,1.0300689456015595
"columbia_banking_system,_inc_2024_Q1","columbia_banking_system,_inc_2024_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/columbia_banking_system,_inc_2024_Q1.txt",columbia,News,News Article,880,0.06239616693232767,0.46059993502508756
discover_financial_services_2024_Q1,discover_financial_services_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/discover_financial_services_2024_Q1.txt,discover,News,News Article,2044,0.1449292786473611,1.0698480308991807
"charles_schwab_corporation,_the_2024_Q1","charles_schwab_corporation,_the_2024_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/charles_schwab_corporation,_the_2024_Q1.txt",charles,News,News Article,1191,0.08444753956409347,0.6233801393350901
morgan_stanley_2024_Q1,morgan_stanley_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/morgan_stanley_2024_Q1.txt,morgan,News,News Article,647,0.04587536364229091,0.33864563404685416
wells_fargo_&_company_2024_Q2,wells_fargo_&_company_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/wells_fargo_&_company_2024_Q2.txt,wells,News,News Article,2814,0.1995259247131478,1.4728729740461324
bok_financial_corporation_2024_Q2,bok_financial_corporation_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/bok_financial_corporation_2024_Q2.txt,bok,News,News Article,574,0.04069931797631373,0.30043677580045486
synchrony_financial_2024_Q2,synchrony_financial_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/synchrony_financial_2024_Q2.txt,synchrony,News,News Article,756,0.053603979773681504,0.39569721690791615
jpmorgan_chase_&_co_2024_Q2,jpmorgan_chase_&_co_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/jpmorgan_chase_&_co_2024_Q2.txt,jpmorgan,News,News Article,5300,0.3757950962969735,2.774067790492005
citigroup_inc_2024_Q2,citigroup_inc_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/citigroup_inc_2024_Q2.txt,citigroup,News,News Article,2132,0.15116889534059386,1.1159080244016895
huntington_bancshares_incorporated_2024_Q2,huntington_bancshares_incorporated_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/huntington_bancshares_incorporated_2024_Q2.txt,huntington,News,News Article,713,0.05055507616221549,0.37319062917373574
state_street_corporation_2024_Q2,state_street_corporation_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/state_street_corporation_2024_Q2.txt,state,News,News Article,1818,0.12890480850337693,0.9515575930404649
american_express_company_2024_Q2,american_express_company_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/american_express_company_2024_Q2.txt,american,News,News Article,1696,0.12025443081503151,0.8877016929574415
"goldman_sachs_group,_inc.,_the_2024_Q2","goldman_sachs_group,_inc.,_the_2024_Q2.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/goldman_sachs_group,_inc.,_the_2024_Q2.txt",goldman,News,News Article,3095,0.21945015529040243,1.6199509078439158
morgan_stanley_2024_Q2,morgan_stanley_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/morgan_stanley_2024_Q2.txt,morgan,News,News Article,1587,0.11252581468364092,0.8306501100963795
"citizens_financial_group,_inc_2024_Q4","citizens_financial_group,_inc_2024_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/citizens_financial_group,_inc_2024_Q4.txt",citizens,News,News Article,683,0.04842793410770432,0.35748835866151685
citigroup_inc_2024_Q4,citigroup_inc_2024_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/citigroup_inc_2024_Q4.txt,citigroup,News,News Article,1023,0.07253554405883092,0.5354474244666643
jpmorgan_chase_&_co_2024_Q4,jpmorgan_chase_&_co_2024_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/jpmorgan_chase_&_co_2024_Q4.txt,jpmorgan,News,News Article,2511,0.178041789962585,1.3142800418727214
"goldman_sachs_group,_inc.,_the_2024_Q4","goldman_sachs_group,_inc.,_the_2024_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/goldman_sachs_group,_inc.,_the_2024_Q4.txt",goldman,News,News Article,3723,0.26397832896483625,1.9486517705663648
"charles_schwab_corporation,_the_2024_Q4","charles_schwab_corporation,_the_2024_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/charles_schwab_corporation,_the_2024_Q4.txt",charles,News,News Article,1795,0.12727399959491836,0.9395191856477638
morgan_stanley_2024_Q4,morgan_stanley_2024_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/morgan_stanley_2024_Q4.txt,morgan,News,News Article,1007,0.07140106829642497,0.5270728801934809
discover_financial_services_2024_Q4,discover_financial_services_2024_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/discover_financial_services_2024_Q4.txt,discover,News,News Article,1077,0.07636439975695103,0.5637115113886583
wells_fargo_&_company_2024_Q3,wells_fargo_&_company_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/wells_fargo_&_company_2024_Q3.txt,wells,News,News Article,749,0.053107646627628895,0.3920333537883984
"first_citizens_bancshares,_inc_2024_Q3","first_citizens_bancshares,_inc_2024_Q3.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/first_citizens_bancshares,_inc_2024_Q3.txt",first,News,News Article,719,0.05098050457311772,0.3763310832761795
synchrony_financial_2024_Q3,synchrony_financial_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/synchrony_financial_2024_Q3.txt,synchrony,News,News Article,825,0.05849640649905719,0.4318124390860196
jpmorgan_chase_&_co_2024_Q3,jpmorgan_chase_&_co_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/jpmorgan_chase_&_co_2024_Q3.txt,jpmorgan,News,News Article,4194,0.29737445922066164,2.1951774176082015
citigroup_inc_2024_Q3,citigroup_inc_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/citigroup_inc_2024_Q3.txt,citigroup,News,News Article,749,0.053107646627628895,0.3920333537883984
state_street_corporation_2024_Q3,state_street_corporation_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/state_street_corporation_2024_Q3.txt,state,News,News Article,375,0.026589275681389635,0.19627838140273618
bank_of_america_corporation_2024_Q3,bank_of_america_corporation_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/bank_of_america_corporation_2024_Q3.txt,bank,News,News Article,3631,0.257455093331002,1.9004981409955601
american_express_company_2024_Q3,american_express_company_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/american_express_company_2024_Q3.txt,american,News,News Article,1555,0.11025686315882902,0.8139010215500126
"goldman_sachs_group,_inc.,_the_2024_Q3","goldman_sachs_group,_inc.,_the_2024_Q3.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/goldman_sachs_group,_inc.,_the_2024_Q3.txt",goldman,News,News Article,3384,0.23994162374886005,1.7712161137782914
keycorp_2024_Q3,keycorp_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/keycorp_2024_Q3.txt,keycorp,News,News Article,276,0.01956970690150277,0.14446088871241383
discover_financial_services_2024_Q3,discover_financial_services_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/discover_financial_services_2024_Q3.txt,discover,News,News Article,559,0.039635746949058144,0.2925856405443454
morgan_stanley_2024_Q3,morgan_stanley_2024_Q3.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/morgan_stanley_2024_Q3.txt,morgan,News,News Article,740,0.05246950401127554,0.38732267263473275
"charles_schwab_corporation,_the_2024_Q3","charles_schwab_corporation,_the_2024_Q3.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q3/charles_schwab_corporation,_the_2024_Q3.txt",charles,News,News Article,1767,0.12528866701070795,0.9248637331696928
"pnc_financial_services_group,_inc.,_the_2023_Q1","pnc_financial_services_group,_inc.,_the_2023_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/pnc_financial_services_group,_inc.,_the_2023_Q1.txt",pnc,News,News Article,657,0.04658441099379464,0.3438797242175938
"charles_schwab_corporation,_the_2023_Q1","charles_schwab_corporation,_the_2023_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/charles_schwab_corporation,_the_2023_Q1.txt",charles,News,News Article,1335,0.0946578214257471,0.6987510377937408
western_alliance_bancorporation_2023_Q1,western_alliance_bancorporation_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/western_alliance_bancorporation_2023_Q1.txt,western,News,News Article,699,0.04956240987011028,0.36586290293470025
american_express_company_2023_Q1,american_express_company_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/american_express_company_2023_Q1.txt,american,News,News Article,1038,0.0735991150860865,0.5432985597227737
truist_financial_corporation_2023_Q1,truist_financial_corporation_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/truist_financial_corporation_2023_Q1.txt,truist,News,News Article,657,0.04658441099379464,0.3438797242175938
capital_one_financial_corporation_2023_Q1,capital_one_financial_corporation_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/capital_one_financial_corporation_2023_Q1.txt,capital,News,News Article,657,0.04658441099379464,0.3438797242175938
"goldman_sachs_group,_inc.,_the_2023_Q1","goldman_sachs_group,_inc.,_the_2023_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/goldman_sachs_group,_inc.,_the_2023_Q1.txt",goldman,News,News Article,5731,0.40635503714678395,2.9996570768508826
jpmorgan_chase_&_co_2023_Q1,jpmorgan_chase_&_co_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/jpmorgan_chase_&_co_2023_Q1.txt,jpmorgan,News,News Article,3607,0.2557533796873931,1.887936324585785
wells_fargo_&_company_2023_Q1,wells_fargo_&_company_2023_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/wells_fargo_&_company_2023_Q1.txt,wells,News,News Article,798,0.05658197864999714,0.41768039562502257
"first_citizens_bancshares,_inc_2023_Q1","first_citizens_bancshares,_inc_2023_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q1/first_citizens_bancshares,_inc_2023_Q1.txt",first,News,News Article,3356,0.2379562911646496,1.7565606613002203
"charles_schwab_corporation,_the_2023_Q2","charles_schwab_corporation,_the_2023_Q2.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/charles_schwab_corporation,_the_2023_Q2.txt",charles,News,News Article,1059,0.07508811452424433,0.554290149081327
morgan_stanley_2023_Q2,morgan_stanley_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/morgan_stanley_2023_Q2.txt,morgan,News,News Article,697,0.049420600399809535,0.3648160849005523
bank_of_america_corporation_2023_Q2,bank_of_america_corporation_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/bank_of_america_corporation_2023_Q2.txt,bank,News,News Article,3012,0.21356506227292155,1.576507959426777
