bank_name,subcategory,total_hits,total_documents,raw_base_score,doc_score,doc_normalized_score,normalized_base_score,normalized_doc_scaled_score,log_transformed,clipped_score,log_scaled_score,clipped_scaled_score
cullen_frost,Analytics,5237,58,100.0,19765.0,340.7758620689655,5.0,2.882546820989438,5.834155148143791,340.7758620689655,4.30562549172714,3.0130409189628504
cullen_frost,Data,590,53,100.0,735.0,13.867924528301886,5.0,1.3729574329963832,2.6992061763057573,13.867924528301886,2.9586706388748953,1.6291945644198242
cullen_frost,Technology,311,49,95.0,345.0,7.040816326530612,4.8,1.3715693173821253,2.084530611187307,7.040816326530612,2.9207194357836688,1.7132103655794566
discover_financial_services,Analog,7762,63,100.0,10360.0,164.44444444444446,5.0,1.7112160392164286,5.108635455347789,164.44444444444446,3.3876506760358667,1.8217390725782474
discover_financial_services,Analytics,7183,63,100.0,21155.0,335.7936507936508,5.0,2.854260247546362,5.8194704306276845,335.7936507936508,4.291804150392739,2.982793581067567
discover_financial_services,Data,1008,54,100.0,2725.0,50.46296296296296,5.0,2.4090080064298744,3.9408623831782292,50.46296296296296,4.078450621651722,3.377054592389065
discover_financial_services,Technology,434,45,95.0,435.0,9.666666666666666,4.8,1.5101449275362318,2.367123614131617,9.666666666666666,3.181105092995222,1.9791999318728577
"east_west_bancorp,_inc",Analog,7169,56,100.0,22920.0,409.2857142857143,5.0,2.8633261204919256,6.016853781112801,409.2857142857143,4.273343139961021,3.152887159084319
"east_west_bancorp,_inc",Analytics,5021,56,100.0,20945.0,374.01785714285717,5.0,3.0712787079150066,5.9269736438842795,374.01785714285717,4.392986798498465,3.2148552944983058
"east_west_bancorp,_inc",Data,481,52,80.0,1440.0,27.692307692307693,4.0,1.7643427332196693,3.3566290621822787,27.692307692307693,3.551563408829464,2.2894777005296247
"east_west_bancorp,_inc",Technology,1038,46,80.0,3300.0,71.73913043478261,4.2,4.785933120396324,4.286879485057674,39.488020176544765,4.949998480052399,5.0
f.n.b._corporation,Analog,10100,61,100.0,28950.0,474.59016393442624,5.0,3.170618738444797,6.164556483220145,474.59016393442624,4.417382482095705,3.5079330761659104
f.n.b._corporation,Analytics,5600,60,100.0,15985.0,266.4166666666667,5.0,2.4603714603545632,5.588807991321857,266.4166666666667,4.0747033240966655,2.5616012700465864
f.n.b._corporation,Data,1013,60,100.0,1875.0,31.25,5.0,1.86506538069183,3.4735180432417816,31.25,3.6569790145930767,2.4594009590481702
f.n.b._corporation,Technology,383,50,100.0,580.0,11.6,5.0,1.6121739130434782,2.533696813957432,11.6,3.3345882707758965,2.175039918247429
fifth_third_bancorp,Analog,4908,55,100.0,7730.0,140.54545454545453,5.0,1.5987584163133208,4.952620899035628,140.54545454545453,3.235505632417731,1.6918055254516018
fifth_third_bancorp,Analytics,3224,54,100.0,7420.0,137.40740740740742,5.0,1.7279196061037028,4.930201563481155,137.40740740740742,3.4548191326417035,1.7783774281013196
fifth_third_bancorp,Data,442,43,50.0,520.0,12.093023255813954,2.5,1.3227077937062863,2.5720795124461278,12.093023255813954,2.844022242097032,1.544421351425052
fifth_third_bancorp,Technology,339,37,25.0,155.0,4.1891891891891895,2.0,1.221078649864257,1.6465774593835572,4.1891891891891895,2.517182483091448,1.4243503898610241
"first_citizens_bancshares,_inc",Analog,4145,30,55.0,9705.0,323.5,2.428571428571429,2.4596581182712827,5.782285536144145,323.5,4.044592716245566,2.6864891147717054
"first_citizens_bancshares,_inc",Analytics,2787,40,100.0,7240.0,181.0,5.0,1.9754171536392695,5.204006687076795,181.0,3.7125261037272654,2.043030973488409
"first_citizens_bancshares,_inc",Data,465,28,55.0,450.0,16.071428571428573,2.75,1.4353413441793301,2.837406222316252,16.071428571428573,3.0833054969659184,1.7344387943261896
"first_citizens_bancshares,_inc",Technology,173,27,55.0,205.0,7.592592592592593,3.2,1.4006885446165807,2.1509005056619808,7.592592592592593,2.981873705039426,1.7691033947660377
first_horizon_corporation,Analog,6453,47,100.0,17340.0,368.93617021276594,5.0,2.673459777569218,5.913330477817731,368.93617021276594,4.172387447956184,2.9335155702222027
first_horizon_corporation,Analytics,5226,47,100.0,18165.0,386.48936170212767,5.0,3.1420858475899838,5.959688394744614,386.48936170212767,4.423778111835926,3.29057063285336
first_horizon_corporation,Data,758,45,95.0,1835.0,40.77777777777778,4.75,2.1348084948530097,3.732364566053675,40.77777777777778,3.8904181527795085,2.9144687126422815
first_horizon_corporation,Technology,870,44,90.0,3335.0,75.79545454545455,4.6,5.0,4.341145452796029,39.488020176544765,5.0,5.0
"flagstar_financial,_inc",Analog,3207,47,100.0,7350.0,156.38297872340425,5.0,1.6732824999357,5.058682189877809,156.38297872340425,3.338936364157225,1.7779106580468498
"flagstar_financial,_inc",Analytics,2898,47,100.0,9710.0,206.59574468085106,5.0,2.12073734817465,5.3355926533978915,206.59574468085106,3.8363755787577487,2.198424451456522
"flagstar_financial,_inc",Data,553,39,100.0,830.0,21.28205128205128,5.0,1.5828604855220827,3.1037814791357454,21.28205128205128,3.323534377426177,1.9833096671628756
"flagstar_financial,_inc",Technology,288,39,100.0,760.0,19.487179487179485,5.0,2.0284088724868337,3.0197992996366283,19.487179487179485,3.7824907803461385,2.9739839475421004
"goldman_sachs_group,_inc.,_the",Analog,12992,70,100.0,40130.0,573.2857142857143,5.0,3.6350344744457956,6.353127032557754,573.2857142857143,4.601276056722561,4.0445190572872844
"goldman_sachs_group,_inc.,_the",Analytics,8930,71,100.0,32545.0,458.38028169014086,5.0,3.5502475404123635,6.129878367457774,458.38028169014086,4.583961901682807,3.7270252166351066
"goldman_sachs_group,_inc.,_the",Data,1938,65,100.0,5580.0,85.84615384615384,5.0,3.4107496843321754,4.464138206688125,84.44265734265733,4.550363691786782,5.0
"goldman_sachs_group,_inc.,_the",Technology,795,61,100.0,1260.0,20.65573770491803,5.0,2.09007791186374,3.075270440349014,20.65573770491803,3.833602765710884,3.092354857252347
hsbc_north_america_holdings_inc,Analog,11711,61,100.0,38790.0,635.9016393442623,5.0,3.929676135776472,6.456615231316953,635.9016393442623,4.702197514863152,4.384948058004893
hsbc_north_america_holdings_inc,Analytics,9374,60,100.0,38760.0,646.0,5.0,4.615461086782038,6.472346294500901,646.0,4.906294701789841,4.8660770757270715
hsbc_north_america_holdings_inc,Data,1048,61,100.0,2550.0,41.80327868852459,5.0,2.163841687659537,3.7566147045258176,41.80327868852459,3.9122879904128016,2.963448905783511
hsbc_north_america_holdings_inc,Technology,460,57,100.0,1115.0,19.56140350877193,5.0,2.0323259422920117,3.0234157023024077,19.56140350877193,3.7858229908929655,2.981502584461409
huntington_bancshares_incorporated,Analog,8450,53,100.0,23405.0,441.60377358490564,5.0,3.0154000006429165,6.092674953529328,441.60377358490564,4.347283776380928,3.3285933332256237
huntington_bancshares_incorporated,Analytics,6020,54,100.0,22225.0,411.5740740740741,5.0,3.284504649121572,6.022415763166249,411.5740740740741,4.482817474970638,3.4428615994929324
huntington_bancshares_incorporated,Data,947,49,100.0,2055.0,41.93877551020408,5.0,2.1676777694292038,3.759775275746974,41.93877551020408,3.915138332051656,2.969920533869195
huntington_bancshares_incorporated,Technology,378,48,95.0,795.0,16.5625,4.8,1.8740629685157422,2.8657659470939647,16.5625,3.640562015951981,2.677724021204573
john_deere_capital_corporation,Analog,1327,36,95.0,2510.0,69.72222222222223,4.714285714285714,1.2654969526678692,4.258759840661242,69.72222222222223,2.5588538924347506,1.3067552018343263
john_deere_capital_corporation,Analytics,954,36,95.0,3040.0,84.44444444444444,4.333333333333334,1.427221651153949,4.447866392169424,84.44444444444444,3.0008424706477808,1.4568357374441085
john_deere_capital_corporation,Data,294,25,65.0,570.0,22.8,3.25,1.6258354817768712,3.169685580677429,22.8,3.3829695844350107,2.0558102574641217
john_deere_capital_corporation,Technology,136,24,80.0,380.0,15.833333333333334,4.2,1.8355822088955522,2.8233610476132043,15.833333333333334,3.6014894716736516,2.6038619573779567
jpmorgan_chase_&_co,Analog,14241,75,100.0,53615.0,714.8666666666667,5.0,4.301249131233149,6.573493929880304,714.8666666666667,4.816177358227074,4.814263528755651
jpmorgan_chase_&_co,Analytics,11507,74,100.0,48640.0,657.2972972972973,5.0,4.67960164848234,6.489656648886331,657.2972972972973,4.922587307780937,4.9346637232560315
jpmorgan_chase_&_co,Data,1723,62,100.0,4910.0,79.19354838709677,5.0,3.222406236818409,4.38444306758551,79.19354838709677,4.4784911227151,4.749290938927125
jpmorgan_chase_&_co,Technology,809,61,100.0,2460.0,40.32786885245902,5.0,3.128247351733969,3.7215370630146087,39.488020176544765,4.429083041313582,5.0
keycorp,Analog,11869,53,100.0,41180.0,776.9811320754717,5.0,4.593531154753597,6.656702272053298,749.0296226415093,4.897321945940882,5.0
keycorp,Analytics,9391,53,100.0,37545.0,708.3962264150944,5.0,4.969716525487786,6.564414222921785,668.0592075125974,4.992949570244781,5.0
keycorp,Data,1434,51,100.0,4435.0,86.96078431372548,5.0,3.4423062445788855,4.476891082355828,84.44265734265733,4.561864793957008,5.0
keycorp,Technology,576,49,90.0,1815.0,37.04081632653061,4.6,2.954777713184224,3.63865969713491,37.04081632653061,4.3527185271263695,4.752106705874532
m&t_bank_corporation,Analog,6365,56,100.0,16165.0,288.6607142857143,5.0,2.295720509542624,5.6687102873149655,288.6607142857143,3.93383438961557,2.497075587616437
m&t_bank_corporation,Analytics,4922,53,100.0,16995.0,320.66037735849056,5.0,2.7683408782537056,5.773496260226331,320.66037735849056,4.2485329944453385,2.89091846583049
m&t_bank_corporation,Data,674,50,100.0,575.0,11.5,5.0,1.3059185755355653,2.5257286443082556,11.5,2.802220997889626,1.5160972482452166
m&t_bank_corporation,Technology,354,39,45.0,95.0,2.4358974358974357,2.8,1.1285511090608542,1.2342781538212648,2.4358974358974357,2.137283389595984,1.2467479934427625
morgan_stanley,Analog,7282,67,100.0,15105.0,225.44776119402985,5.0,1.9982695096709961,5.422514283417824,225.44776119402985,3.6937446016050557,2.1534006769081837
morgan_stanley,Analytics,3217,64,100.0,9505.0,148.515625,5.0,1.7909866651646789,5.007400902419591,148.515625,3.527479598400602,1.8458161600961314
morgan_stanley,Data,769,51,75.0,875.0,17.15686274509804,3.75,1.466071321415518,2.8990486019218538,17.15686274509804,3.1388972963633925,1.7862815327492148
morgan_stanley,Technology,407,47,45.0,110.0,2.3404255319148937,2.8,1.1235127117292418,1.2060982036382495,2.3404255319148937,2.1113179383210303,1.2370770194556442
northern_trust_corporation,Analog,3824,50,100.0,665.0,13.3,5.0,1.0,2.6602595372658615,13.3,1.0,1.0
northern_trust_corporation,Analytics,1567,50,100.0,910.0,18.2,5.0,1.0511179013475647,2.954910279033736,18.2,1.5956635140696318,1.0546612843605505
northern_trust_corporation,Data,716,34,20.0,40.0,1.1764705882352942,1.0,1.0136467533317695,0.7777045685880084,1.1764705882352942,1.2257762794809193,1.0230226354502252
northern_trust_corporation,Technology,226,29,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
old_national_bancorp,Analog,5581,54,100.0,16370.0,303.14814814814815,5.0,2.3638916908779555,5.7175149121344955,303.14814814814815,3.981428549721228,2.5758405763655334
old_national_bancorp,Analytics,4556,53,100.0,15585.0,294.0566037735849,5.0,2.6172975856697613,5.687167215132337,294.0566037735849,4.167279596277606,2.729405176962301
old_national_bancorp,Data,829,52,100.0,1630.0,31.346153846153847,5.0,1.8677876144072938,3.476495121951466,31.346153846153847,3.6596638746435515,2.4639934795486713
old_national_bancorp,Technology,269,50,100.0,535.0,10.7,5.0,1.5646776611694153,2.4595888418037104,10.7,3.2663040145034046,2.083873028038577
"pinnacle_financial_partners,_inc",Analog,7065,53,100.0,15935.0,300.66037735849056,5.0,2.352185389041973,5.709301806279092,300.66037735849056,3.9734191474055205,2.5623151142223852
