document_id,filename,full_path,bank_name,source_type,document_type,word_count
morgan_stanley_2024_Q1,morgan_stanley_2024_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q1/morgan_stanley_2024_Q1.txt,morgan,News,News Article,647
wells_fargo_&_company_2024_Q2,wells_fargo_&_company_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/wells_fargo_&_company_2024_Q2.txt,wells,News,News Article,2814
bok_financial_corporation_2024_Q2,bok_financial_corporation_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/bok_financial_corporation_2024_Q2.txt,bok,News,News Article,574
synchrony_financial_2024_Q2,synchrony_financial_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/synchrony_financial_2024_Q2.txt,synchrony,News,News Article,756
jpmorgan_chase_&_co_2024_Q2,jpmorgan_chase_&_co_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/jpmorgan_chase_&_co_2024_Q2.txt,jpmorgan,News,News Article,5300
citigroup_inc_2024_Q2,citigroup_inc_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/citigroup_inc_2024_Q2.txt,citigroup,News,News Article,2132
huntington_bancshares_incorporated_2024_Q2,huntington_bancshares_incorporated_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/huntington_bancshares_incorporated_2024_Q2.txt,huntington,News,News Article,713
state_street_corporation_2024_Q2,state_street_corporation_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/state_street_corporation_2024_Q2.txt,state,News,News Article,1818
american_express_company_2024_Q2,american_express_company_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/american_express_company_2024_Q2.txt,american,News,News Article,1696
"goldman_sachs_group,_inc.,_the_2024_Q2","goldman_sachs_group,_inc.,_the_2024_Q2.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/goldman_sachs_group,_inc.,_the_2024_Q2.txt",goldman,News,News Article,3095
morgan_stanley_2024_Q2,morgan_stanley_2024_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q2/morgan_stanley_2024_Q2.txt,morgan,News,News Article,1587
"citizens_financial_group,_inc_2024_Q4","citizens_financial_group,_inc_2024_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/citizens_financial_group,_inc_2024_Q4.txt",citizens,News,News Article,683
citigroup_inc_2024_Q4,citigroup_inc_2024_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/citigroup_inc_2024_Q4.txt,citigroup,News,News Article,1023
jpmorgan_chase_&_co_2024_Q4,jpmorgan_chase_&_co_2024_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2024/Q4/jpmorgan_chase_&_co_2024_Q4.txt,jpmorgan,News,News Article,2511
