bank_name,subcategory,total_hits,raw_base_score,raw_scaled_score,total_documents,normalized_base_score,normalized_scaled_score
southstate_corporation,Technology,403,977.0,977.0,46,1.6229777899643543,1.6229777899643543
state_street_corporation,Analog,14264,58573.0,58573.0,58,4.727747615051296,4.727747615051296
state_street_corporation,Analytics,7938,34122.0,34122.0,57,3.509748959149182,3.509748959149182
state_street_corporation,Data,2284,9083.0,9083.0,53,5.0,5.0
state_street_corporation,Technology,774,2757.0,2757.0,53,3.5752673430216615,3.5752673430216615
synchrony_financial,Analog,7520,19951.0,19951.0,44,2.0818161577063385,2.0818161577063385
synchrony_financial,Analytics,4936,15086.0,15086.0,44,1.94035203429655,1.94035203429655
synchrony_financial,Data,917,2329.0,2329.0,38,1.7149805447470818,1.7149805447470818
synchrony_financial,Technology,661,1751.0,1751.0,38,2.471894707979161,2.471894707979161
synovus_financial_corp,Analog,7239,23598.0,23598.0,58,2.3316662955794953,2.3316662955794953
synovus_financial_corp,Analytics,3496,11951.0,11951.0,57,1.6818912568531266,1.6818912568531266
synovus_financial_corp,Data,643,1847.0,1847.0,55,1.4805447470817121,1.4805447470817121
synovus_financial_corp,Technology,650,2374.0,2374.0,55,3.1551960515492183,3.1551960515492183
truist_financial_corporation,Analog,8353,26885.0,26885.0,60,2.556853409149297,2.556853409149297
truist_financial_corporation,Analytics,4720,16556.0,16556.0,59,2.061544169174327,2.061544169174327
truist_financial_corporation,Data,1081,2840.0,2840.0,52,1.9635214007782102,1.9635214007782102
truist_financial_corporation,Technology,541,1274.0,1274.0,49,1.9487249794351522,1.9487249794351522
u.s._bancorp,Analog,9100,34517.0,34517.0,55,3.0797095243804273,3.0797095243804273
u.s._bancorp,Analytics,7360,30815.0,30815.0,55,3.237107877488767,3.237107877488767
u.s._bancorp,Data,1026,3297.0,3297.0,54,2.18579766536965,2.18579766536965
u.s._bancorp,Technology,305,982.0,982.0,50,1.6284617493830544,1.6284617493830544
umb_financial_corporation,Analog,4317,14862.0,14862.0,56,1.733176905818076,1.733176905818076
umb_financial_corporation,Analytics,2897,11113.0,11113.0,56,1.6128034956098767,1.6128034956098767
umb_financial_corporation,Data,583,1931.0,1931.0,55,1.5214007782101167,1.5214007782101167
umb_financial_corporation,Technology,229,713.0,713.0,50,1.3334247326569784,1.3334247326569784
valley_national_bancorp,Analog,4104,12873.0,12873.0,55,1.5969136965420385,1.5969136965420385
valley_national_bancorp,Analytics,2708,10093.0,10093.0,55,1.5287109938579495,1.5287109938579495
valley_national_bancorp,Data,482,1570.0,1570.0,54,1.3458171206225682,1.3458171206225682
valley_national_bancorp,Technology,253,515.0,515.0,35,1.1162599396764463,1.1162599396764463
webster_financial_corporation,Analog,7472,26371.0,26371.0,56,2.521640091116173,2.521640091116173
webster_financial_corporation,Analytics,5382,21693.0,21693.0,55,2.485057092213199,2.485057092213199
webster_financial_corporation,Data,742,2183.0,2183.0,48,1.6439688715953307,1.6439688715953307
webster_financial_corporation,Technology,329,820.0,820.0,46,1.4507814642171648,1.4507814642171648
wells_fargo_&_company,Analog,9898,41453.0,41453.0,58,3.5548837926250707,3.5548837926250707
wells_fargo_&_company,Analytics,9282,42525.0,42525.0,59,4.202522775052557,4.202522775052557
wells_fargo_&_company,Data,694,2864.0,2864.0,44,1.975194552529183,1.975194552529183
wells_fargo_&_company,Technology,343,1172.0,1172.0,44,1.8368522072936662,1.8368522072936662
western_alliance_bancorporation,Analog,5115,15330.0,15330.0,64,1.7652388374124377,1.7652388374124377
western_alliance_bancorporation,Analytics,3502,12623.0,12623.0,64,1.7372933756543962,1.7372933756543962
western_alliance_bancorporation,Data,538,1643.0,1643.0,59,1.3813229571984436,1.3813229571984436
western_alliance_bancorporation,Technology,270,690.0,690.0,50,1.3081985193309569,1.3081985193309569
wintrust_financial_corporation,Analog,4102,10856.0,10856.0,58,1.4587322520424066,1.4587322520424066
wintrust_financial_corporation,Analytics,1885,5846.0,5846.0,57,1.1785729007790924,1.1785729007790924
wintrust_financial_corporation,Data,703,1637.0,1637.0,47,1.3784046692607004,1.3784046692607004
wintrust_financial_corporation,Technology,264,609.0,609.0,47,1.219358376748012,1.219358376748012
